Real_Goal,Results,BACC,Precision,Recall
15,1/7/10/12/19/,0.3684210526315789,0.0,0.0
16,10/17/,0.4473684210526316,0.0,0.0
17,10/12/15/19/,0.39473684210526316,0.0,0.0
18,0/13/,0.4473684210526316,0.0,0.0
19,0/5/19/,0.9473684210526316,0.3333333333333333,1.0
0,0/1/5/,0.9473684210526316,0.3333333333333333,1.0
1,19/,0.47368421052631576,0.0,0.0
2,1/7/,0.4473684210526316,0.0,0.0
3,0/5/8/14/,0.39473684210526316,0.0,0.0
4,3/7/9/10/13/14/19/,0.3157894736842105,0.0,0.0
5,13/,0.47368421052631576,0.0,0.0
6,0/6/,0.9736842105263157,0.5,1.0
7,19/,0.47368421052631576,0.0,0.0
8,9/12/,0.4473684210526316,0.0,0.0
9,10/14/,0.4473684210526316,0.0,0.0
10,1/3/5/6/7/8/10/11/12/13/,0.763157894736842,0.1,1.0
11,0/6/,0.4473684210526316,0.0,0.0
12,3/4/6/7/8/13/15/16/17/19/,0.23684210526315788,0.0,0.0
13,17/,0.47368421052631576,0.0,0.0
14,6/8/10/11/,0.39473684210526316,0.0,0.0
15,14/,0.47368421052631576,0.0,0.0
16,2/18/,0.4473684210526316,0.0,0.0
17,0/2/3/4/6/7/11/13/14/15/,0.23684210526315788,0.0,0.0
18,0/11/,0.4473684210526316,0.0,0.0
19,1/,0.47368421052631576,0.0,0.0
