Real_Goal,Results,BACC,Precision,Recall
14,11/,0.47368421052631576,0.0,0.0
15,1/7/10/12/18/19/,0.34210526315789475,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,10/13/18/,0.42105263157894735,0.0,0.0
18,0/5/10/11/13/18/,0.868421052631579,0.16666666666666666,1.0
19,0/5/,0.4473684210526316,0.0,0.0
0,3/10/,0.4473684210526316,0.0,0.0
1,5/,0.47368421052631576,0.0,0.0
2,5/8/12/18/,0.39473684210526316,0.0,0.0
3,10/11/,0.4473684210526316,0.0,0.0
4,0/1/3/6/7/9/10/12/13/16/17/18/19/,0.15789473684210525,0.0,0.0
5,13/18/,0.4473684210526316,0.0,0.0
6,7/9/12/14/17/18/19/,0.3157894736842105,0.0,0.0
7,1/2/7/19/,0.9210526315789473,0.25,1.0
8,1/,0.47368421052631576,0.0,0.0
9,5/,0.47368421052631576,0.0,0.0
10,7/8/12/13/18/19/,0.34210526315789475,0.0,0.0
11,3/11/,0.9736842105263157,0.5,1.0
12,0/2/3/4/8/10/11/15/,0.2894736842105263,0.0,0.0
13,14/17/,0.4473684210526316,0.0,0.0
14,0/1/3/6/7/9/10/12/13/14/16/17/18/19/,0.6578947368421053,0.07142857142857142,1.0
15,4/15/,0.9736842105263157,0.5,1.0
16,0/10/,0.4473684210526316,0.0,0.0
17,5/8/,0.4473684210526316,0.0,0.0
18,10/13/18/,0.9473684210526316,0.3333333333333333,1.0
19,5/8/,0.4473684210526316,0.0,0.0
0,1/,0.47368421052631576,0.0,0.0
1,5/,0.47368421052631576,0.0,0.0
2,0/5/8/9/10/11/14/16/17/,0.2631578947368421,0.0,0.0
3,0/1/6/7/10/17/19/,0.3157894736842105,0.0,0.0
4,0/1/3/6/7/9/10/12/13/16/17/18/19/,0.15789473684210525,0.0,0.0
5,9/,0.47368421052631576,0.0,0.0
6,10/11/,0.4473684210526316,0.0,0.0
7,8/,0.47368421052631576,0.0,0.0
8,7/8/19/,0.9473684210526316,0.3333333333333333,1.0
9,4/6/9/10/12/14/17/18/,0.8157894736842105,0.125,1.0
10,10/14/17/,0.9473684210526316,0.3333333333333333,1.0
11,11/12/18/,0.9473684210526316,0.3333333333333333,1.0
12,4/,0.47368421052631576,0.0,0.0
13,9/13/14/17/18/,0.8947368421052632,0.2,1.0
14,0/2/3/4/8/11/12/15/18/,0.2631578947368421,0.0,0.0
15,12/18/,0.4473684210526316,0.0,0.0
16,10/,0.47368421052631576,0.0,0.0
17,0/2/3/4/6/8/10/11/12/15/16/17/18/,0.6842105263157895,0.07692307692307693,1.0
18,10/13/18/,0.9473684210526316,0.3333333333333333,1.0
19,0/5/,0.4473684210526316,0.0,0.0
0,9/,0.47368421052631576,0.0,0.0
1,5/,0.47368421052631576,0.0,0.0
2,0/,0.47368421052631576,0.0,0.0
3,6/7/12/17/18/19/,0.34210526315789475,0.0,0.0
4,4/15/,0.9736842105263157,0.5,1.0
5,5/13/14/17/18/,0.8947368421052632,0.2,1.0
6,5/14/17/,0.42105263157894735,0.0,0.0
7,7/19/,0.9736842105263157,0.5,1.0
8,4/9/10/,0.42105263157894735,0.0,0.0
9,4/,0.47368421052631576,0.0,0.0
10,3/10/11/,0.9473684210526316,0.3333333333333333,1.0
11,6/7/12/17/18/19/,0.34210526315789475,0.0,0.0
12,0/1/6/7/10/17/19/,0.3157894736842105,0.0,0.0
13,13/18/,0.9736842105263157,0.5,1.0
14,9/10/14/17/,0.9210526315789473,0.25,1.0
15,0/1/3/6/7/10/11/12/13/16/17/18/19/,0.15789473684210525,0.0,0.0
16,8/,0.47368421052631576,0.0,0.0
17,0/5/10/11/13/18/,0.34210526315789475,0.0,0.0
18,10/,0.47368421052631576,0.0,0.0
19,5/,0.47368421052631576,0.0,0.0
