Domain,Problem name,BACC average standard,BACC stdev standard,BACC average not use,BACC stdev not use,BACC average use,BACC stdev use,BACCDROP,BACC improvement,Recall average standard,Recall stdev standard,Recall average not use,Recall stdev not use,Recall average use,Recall stdev use,Recall DROP,Recall improvement,Precision average standard,Precision stdev standard,Precision average not use,Precision stdev not use,Precision average use,Precision stdev use,Precision DROP,Precision improvement,DomainFolder
rslt_use_grd_ol\logistics-aaai,p03,0.9133333333333334,0.1982464591384114,0.7655555555555554,0.2775622059140784,0.8288888888888889,0.2012679597449696,0.147777777777778,0.0633333333333334,0.86,0.348735088019777,0.6,0.4923659639173309,0.86,0.348735088019777,0.26,0.26,0.8133333333333332,0.366437026344356,0.555,0.479697224934049,0.3508333333333333,0.1723341929916233,0.2583333333333332,-0.2041666666666667,logistics-aaai_p03
rslt_use_grd_ol\logistics,p01,0.9088888888888887,0.1801538741780045,0.8238888888888889,0.2598664126776676,0.8538888888888887,0.0407675149242798,0.0849999999999999,0.0299999999999998,0.89,0.3144660377352201,0.7,0.4605661864718383,1.0,0.0,0.19,0.3,0.7223333333333334,0.3751260169856639,0.6666666666666667,0.4617830081075741,0.2851666666666666,0.0497409112216317,0.0556666666666666,-0.3815000000000001,logistics_p01
rslt_use_grd_ol\logistics,p02,0.8722222222222222,0.1900866494025354,0.7794444444444444,0.2562907251102317,0.7388888888888888,0.2399624819991199,0.0927777777777778,-0.0405555555555555,0.84,0.3684529491774706,0.64,0.4824181513244218,0.65,0.4793724854411023,0.1999999999999999,0.01,0.5125,0.3043767435600197,0.4716666666666667,0.411025789672051,0.3805,0.4089010689336532,0.0408333333333332,-0.0911666666666666,logistics_p02
rslt_use_grd_ol\logistics,p03,0.9455555555555556,0.1598844513555336,0.7766666666666667,0.280289430515068,0.8277777777777777,0.2079448304245906,0.1688888888888888,0.0511111111111109,0.92,0.2726599243442907,0.62,0.4878317312145633,0.86,0.348735088019777,0.3,0.24,0.8675,0.307978228492842,0.5916666666666667,0.4816352383348172,0.3545,0.1736557316396816,0.2758333333333334,-0.2371666666666666,logistics_p03
rslt_use_grd_ol\logistics,p05,0.92,0.1852390494054008,0.7938888888888889,0.2766300644230686,0.8566666666666666,0.1680971162122143,0.1261111111111111,0.0627777777777777,0.88,0.3265986323710904,0.65,0.4793724854411023,0.9,0.3015113445777636,0.2299999999999999,0.25,0.7866666666666666,0.3530212712533783,0.6266666666666667,0.4762130826764773,0.3675,0.1526491653326924,0.1599999999999999,-0.2591666666666666,logistics_p05
rslt_use_grd_ol\logistics,p06,0.9636363636363636,0.118677341605357,0.8208333333333333,0.2728733905324764,0.9094696969696972,0.1367445448173558,0.1428030303030304,0.0886363636363638,0.95,0.218858766477072,0.7,0.4601789933084222,0.9333333333333332,0.2504897164340598,0.25,0.2333333333333334,0.85,0.2795554694585704,0.6833333333333333,0.4580435804250808,0.5804166666666667,0.3548362841021281,0.1666666666666666,-0.1029166666666666,logistics_p06
rslt_use_grd_ol\logistics,p07,0.9518939393939394,0.1320683111082695,0.8121212121212122,0.2511818949999518,0.825378787878788,0.2335642412404176,0.1397727272727271,0.0132575757575758,0.9416666666666668,0.235355384180488,0.6916666666666667,0.4637413313572164,0.775,0.4193332041878556,0.25,0.0833333333333333,0.7944444444444445,0.3114177493786657,0.5444444444444444,0.4271009111410806,0.46,0.3582520590521791,0.2500000000000001,-0.0844444444444443,logistics_p07
rslt_use_grd_ol\miconic,p01,0.775,0.302321526002939,0.6283333333333333,0.3097794002772912,0.6416666666666669,0.1985469817317862,0.1466666666666667,0.0133333333333336,0.7,0.4621247905424446,0.4166666666666667,0.4971671160112441,0.8833333333333333,0.3237317715130933,0.2833333333333332,0.4666666666666666,0.601388888888889,0.445761496051655,0.3916666666666666,0.4791559198008785,0.2327777777777777,0.0956180542775748,0.2097222222222223,-0.1588888888888889,miconic_p01
rslt_use_grd_ol\miconic,p02,0.7583333333333333,0.2912810202679906,0.6099999999999999,0.2903533790844575,0.6099999999999998,0.2685175877205332,0.1483333333333334,-1.1102230246251563e-16,0.65,0.4809947319913076,0.3666666666666666,0.4859611014169709,0.7,0.4621247905424446,0.2833333333333334,0.3333333333333333,0.5588888888888889,0.4586218061537456,0.3416666666666667,0.4647914300482827,0.2238888888888889,0.1511838614065016,0.2172222222222222,-0.1177777777777777,miconic_p02
rslt_use_grd_ol\miconic,p03,0.6149999999999999,0.2711088342345192,0.5216666666666666,0.2655928237407759,0.6,0.2773971026207247,0.0933333333333332,0.0783333333333333,0.55,0.501692052213544,0.2666666666666666,0.4459484908564834,0.5833333333333334,0.4971671160112441,0.2833333333333334,0.3166666666666667,0.295,0.3599317261059757,0.2,0.358906059188242,0.2527777777777777,0.2841408676041028,0.0949999999999999,0.0527777777777777,miconic_p03
